Title,RatingTomatometer,No. of Reviews
The Wild Parrots of Telegraph Hill (2005),95,100
Chasing Ice (2012),96,69
The Gatekeepers (2013),94,109
Touching the Void (2004),94,139
I Am Divine (2013),96,51
Manakamana (2014),96,48
Deep Water (2006),96,55
The Last of the Unjust (2014),96,47
Cutie And The Boxer (2013),95,73
Brooklyn Castle (2012),96,51
Up the Yangtze (2007),96,52
Good Hair (2009),95,83
5 Broken Cameras (2012),96,45
National Gallery (2014),95,64
The Salt of the Earth (2015),94,89
Last Days in Vietnam (2014),95,62
Plagues & Pleasures on the Salton Sea (2004),96,49
Promises (2002),96,47
The Arbor (2011),96,46
The Endurance (2001),95,65
Super Size Me (2004),92,170
My Winnipeg (2007),94,90
The Story of the Weeping Camel (2004),94,102
Rocky (1976),93,57
Red Army (2015),94,96
Battle of the Sexes (2017),85,280
The Fighter (2010),90,241
The Crash Reel (2013),96,46
Sugar (2008),92,134
The Damned United (2009),92,136
Boxing Gym (2010),95,42
Riding Giants (2004),93,95
Senna (2011),92,118
Dogtown and Z-Boys (2001),92,95
The Color of Money (1986),89,46
Tristram Shandy: A Cock & Bull Story (2005),89,129
Up for Grabs (2005),92,48
Hoosiers (1986),88,43
Field of Dreams (1989),86,58
Girlfight (2000),87,95
The Heart of the Game (2005),87,99
Tyson (2009),85,143
Chariots of Fire (1981),83,65
The Hurricane (1999),83,113
Looking for Eric (2010),85,98
The Armstrong Lie (2013),82,116
Major League (1989),82,39
Goon (2012),82,104
Beyond the Mat (1999),82,66
The Boxer (1997),80,69
Invictus (2009),76,240
Fed Up (2014),81,68
A League of Their Own (1992),78,63
Step Into Liquid (2003),81,80
Once in a Lifetime: The Extraordinary Story of the New York Cosmos (2006),81,59
Stoked: The Rise and Fall of Gator (2003),81,47
Talladega Nights: The Ballad of Ricky Bobby (2006),71,184
Invincible (2006),72,134
Gunnin' for That #1 Spot (2008),74,42
